ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
112606,Audio,Piranga ludoviciana,Western Tanager,Cardellina rubrifrons -- Red-faced Warbler; Catherpes mexicanus -- Canyon Wren; Colaptes auratus -- Northern Flicker; Contopus pertinax -- Greater Pewee; Contopus sordidulus -- Western Wood-Pewee; Empidonax occidentalis -- Cordilleran Flycatcher; Troglodytes aedon -- House Wren; Turdus migratorius -- American Robin; Oreothlypis virginiae -- Virginia's Warbler; Vireo plumbeus -- Plumbeous Vireo,,"Marantz, Curtis A",1998,6,11,725,United States,New Mexico,Grant,"Gila National Forest, Cherry Creek Campground",,,,,call,,Certain,Sight and Sound,,,5,0,221,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (Technical: recorded with HHb PDR-1000, Sennheiser MKH-20 microphone inside a 30""Roche fiberglass parabola, HHb filters in cut position and attenuators off unless noted otherwise.  HPF@180  Notes: ""calling bird seen foraging in open branches at top of apparent walnut tree along road through canyon."") -SBA 29/10/2002  BNA: The pit-ick or pit-er-ik calls are heard.  CZ  08/07/2004.",,,Aves,Passeriformes,Cardinalidae,299080
109022,Audio,Piranga ludoviciana,Western Tanager,Myiarchus tuberculifer -- Dusky-capped Flycatcher; Pheucticus melanocephalus -- Black-headed Grosbeak; Selasphorus platycercus -- Broad-tailed Hummingbird,,"Keller, Geoffrey A",1999,5,19,648,United States,Arizona,Cochise,"15.0 km S of Sierra Vista, Miller Canyon",,,1760,Adult Male (1),advertise; song,Natural,Certain,Sound,,,5,0,62,NAGRA E,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous; Creek,,, NOTES: BNA: The pit-ick or pit-er-ik calls are heard.  CZ  08/07/2004.,,,Aves,Passeriformes,Cardinalidae,299080
51135,Audio,Piranga ludoviciana,Western Tanager,,,"Colver, Kevin J",1990,7,14,0,United States,Utah,,2.0 km S of Black Hawk Campground; Nebo Loop,,,2591,Adult Female (1); Adult Male (1),call; emit alarm,Natural,Not Provided,,,,5,0,1123,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,,," NOTES: (Cross Reference to Catalog #: 49798; Breeding Status: breeding; Sound Delivery Rate: normal, agitated?; General Climate: cyclic wet-dry; Cover Density: medium; Filtering: yes) LNS #49798 for reference.  *Part A = 8:03, quality 1. Part B = 10:45, quality 1.  *Dash copy 3M275. Reel# 73724 17 38 starts here.  BNA: Probably the pit-ick or pit-er-ik calls are heard.  CZ  02/07/2004.",,,Aves,Passeriformes,Cardinalidae,299080
48858,Audio,Piranga ludoviciana,Western Tanager,,,"Colver, Kevin J",1990,6,14,908,United States,California,,7.5 km S of Snow Park of Yuba Pazss; Forest Service Rd. #12,39.55,-120.4666667,2134,Adult Unknown Sex (1),advertise; call; forage; song,Natural,Certain,Sight and Sound,,,5,0,1091,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Montane Grassland; Stream,,," NOTES: (RRN: 90-20-16-20; Species Sound: isolated; Behavioral Context: preening; General Climate: cyclic wet-dry; Cover Density: sparse; Temperature: 4-10¡C; Filtering: yes) **** - use right track only - noise from system on left.  Part A = 12:01, Quality = 1.  Part B = 6:10, Quality = 1.  BNA: The Song is heard followed by pit-ick or pit-er-ik calls beginning at about 9:31.  CZ  06/07/2004.  BNA: Probably the pit-ick or pit-er-ik calls are heard as well as Song.  CZ  02/07/2004.",,,Aves,Passeriformes,Cardinalidae,299080
22973,Audio,Piranga ludoviciana,Western Tanager,,,"Fish, William R",1960,6,8,0,United States,California,Placer,FULDA FLAT NEAR EMIGRANT GAP; PLACER CO.,,,,,song,Natural,Not Provided,Sight,,,5,0,122,MAGNEMITE UNSPECIFIED MODEL,,Parabola 61cm (24in),Mono,,,,Forest; Grassland; Coniferous Forest; Deciduous Forest; Stream,,Edge, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; Frequency of sound: NORMAL;  General climate: CYCLIC WET-DRY;  Cover density: MEDIUM;   Age: UNKNOWN AGE; MALE(S)  BNA: The Song is heard. CZ  01/07/2004.,,,Aves,Passeriformes,Cardinalidae,299080
205446,Audio,Piranga ludoviciana,Western Tanager,,,"Budney, Gregory F",2000,6,18,713,United States,California,Sierra,Tahoe National Forest; Bear Trap Meadow,39.6423556,-120.5030841,,Unknown Age Unknown Sex (1),song,,Not Provided,,,,4,0,229,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Cardinalidae,31621
188278,Audio,Piranga ludoviciana,Western Tanager,,,"McGuire, Bob ",2013,5,7,731,United States,Arizona,,Coronado National Forest; Chiricahua Mountains; Turkey Creek Rd.,31.9087,-109.2498,,Adult Unknown Sex (2),song,Natural,Certain,Sight and Sound,,,4,0,156,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Cardinalidae,299080
188240,Audio,Piranga ludoviciana,Western Tanager,,,"McGuire, Bob ",2013,5,4,956,United States,Texas,,Big Bend National Park; Laguna Meadows Trail,29.24628,-103.31163,,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,4,0,58,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Cardinalidae,299080
148359,Audio,Piranga ludoviciana,Western Tanager,,,"Clock, Benjamin M",2006,5,14,557,United States,Arizona,,Carr Canyon - Reef Townsite,31.428213,-110.290439,,,call,Natural,Certain,,,,4,0,219,SOUND DEVICES 744T,Telinga Pro 5,,Stereo,S2587268,,,,,,,,,Aves,Passeriformes,Cardinalidae,299080
144041,Audio,Piranga ludoviciana,Western Tanager,Cyanocitta stelleri -- Steller's Jay; Setophaga coronata -- Yellow-rumped Warbler; Oreortyx pictus -- Mountain Quail; Passerella iliaca -- Fox Sparrow,,"Little, Randolph S",2002,5,30,645,United States,California,Sierra,6.0 km W of Sattley; 2.2Km S of Yuba Pass on USFS Rt 12,39.6025,-120.49,2100,Adult Male (3),advertise; call; song,Natural,Certain,Sight and Sound,,,4,0,93,NAGRA IV-D,Sennheiser MKH 404,,,,,,Forest; Evergreen Forest; Coniferous Forest; Montane Grassland,,,,,,Aves,Passeriformes,Cardinalidae,312870
138529,Audio,Piranga ludoviciana,Western Tanager,Contopus cooperi -- Olive-sided Flycatcher; Sturnella magna -- Eastern Meadowlark,,"Budney, Gregory F",1997,6,7,0,United States,California,Plumas,12.0 km S of Portola; Carmen Valley,39.7166667,-120.5166667,1550,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,314,HHB PORTADAT PDR 1000,,,Mono,,,,,,,,,,Aves,Passeriformes,Cardinalidae,299080
119430,Audio,Piranga ludoviciana,Western Tanager,,,"Keller, Geoffrey A",2001,5,31,450,United States,California,Tulare,27.4 km NW of Kernville; Sequoia National Forest; Holy Meadow Campground,,,2060,,song,,Certain,Sound,,,4,0,197,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Stream,,," NOTES: ""Bird was vocalizing from unknown location in coniferous forest...""  BNA: The Song is heard.  CZ  08/07/2004.",,,Aves,Passeriformes,Cardinalidae,299080
119401,Audio,Piranga ludoviciana,Western Tanager,,,"Keller, Geoffrey A",2001,5,29,542,United States,California,,27.4 km S of Onyx; Piute Mountains,,,1950,,call; song,,Certain,Sight,,,4,0,98,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from canopy of medium sized Ponderosa Pine...""  BNA: The Song is heard.  CZ  08/07/2004.",,,Aves,Passeriformes,Cardinalidae,299080
118680,Audio,Piranga ludoviciana,Western Tanager,,,"Keller, Geoffrey A",2001,5,6,659,United States,California,Del Norte,8.0 km E of Smith River; Six Rivers National Forest,,,457,,song,,Certain,Sound,,,4,0,154,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing top of from relatively tall Douglas Fir...""  BNA: The song is heard.  CZ  08/07/2004.",,,Aves,Passeriformes,Cardinalidae,299080
111130,Audio,Piranga ludoviciana,Western Tanager,,,"Sander, Thomas G",1990,5,31,0,United States,Oregon,Deschutes,central Oregon,,,,,call; song,,Not Provided,,,,4,0,285,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (Location: central Oregon. AOU #607. NM: Y.) Strange call notes plus songs at end.,,,Aves,Passeriformes,Cardinalidae,299080
111070,Audio,Piranga ludoviciana,Western Tanager,,,"Sander, Thomas G",1988,5,18,0,United States,California,Marin,Mt. Hamilton; Mines Rd.,,,,,song,,Not Provided,,,,4,0,212,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #607. NM: Y.) Full song.,,,Aves,Passeriformes,Cardinalidae,299080
110931,Audio,Piranga ludoviciana,Western Tanager,,,"Sander, Thomas G",1986,6,6,0,United States,California,,Yosemite National Park; near Gin Flat,,,,,song,,Not Provided,,,,4,0,278,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #607. NM: N.) Chatter turns to song.,,,Aves,Passeriformes,Cardinalidae,299080
105883,Audio,Piranga ludoviciana,Western Tanager,,,"Faucett, Robert C",1993,6,8,0,United States,California,Sierra,"N of Yuba Pass, Bear-trap meadow, or Jones Valley",,,,,,,Not Provided,,,,4,0,59,NAGRA IV-S,,,Mono,,,,,,," NOTES: notes taken from LNS cat. # 105882.  Microphone used is Sennheiser MKH816.   Location of recording unknown.  There are three possible locations; Yuba Pass, Bear Valley, or Jones Valley, all CA locations, US. Yuba Pass info: USA, CA, 3km W of Sattley, Latitude: 39 38'N, Longitude: 120 30'W, Altitude: 2010m Jones Valley Info: USA, CA, 16 km SE of Loyalton, Latitude: 39 35'N, Longitude: 120 07'W, Altitude: 2100m Bear Valley Info: USA, CA, Sierra County   BNA: The pit-ick or pit-er-ik calls are heard.  CZ  08/07/2004.  ",,,Aves,Passeriformes,Cardinalidae,299080
87925,Audio,Piranga ludoviciana,Western Tanager,Junco phaeonotus -- Yellow-eyed Junco; Loxia curvirostra -- Red Crossbill,,"Marantz, Curtis A",1996,7,14,728,United States,Arizona,Cochise,Coronado National Forest; Chiricahua Mtns.; trailhead to Barfoot Lookout.,,,,Adult Female (2),call,Natural,Certain,Sight and Sound,,,4,0,61,NAGRA IV-D,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Montane Grassland,,," NOTES: ""I think it sounded like it was feeding young...difficult to be certain, but I think I can actually see the nest."" (Geo: trailhead to Barfoot Lookout. Sound: Frequent. Breeding Status: Breeding? Context: Mate Contact? Care of Young? General Climate:  Cyclic wet-dry. Cov. Density: Med; thick.) K6 in cut position. I thought that I could see a nest near the top of the tree this bird was in.  BNA: The pit-ick or pit-er-ik calls are heard.  CZ  08/07/2004.",,,Aves,Passeriformes,Cardinalidae,299080
66870,Audio,Piranga ludoviciana,Western Tanager,Pheucticus melanocephalus -- Black-headed Grosbeak; Sitta canadensis -- Red-breasted Nuthatch,,"Gunn, William W. H. ",1981,5,22,0,United States,Arizona,Cochise,"Chiricahua Mountains; Cave Creek Canyon, South Fork Campsite",,,,Adult Male (1),song,,Not Provided,Sight and Sound,,,4,0,270,,,,,,,,,,," NOTES: Songs:  1 1 1 1 1 1 1 1 1 / 1 1 1 1 1 1 1 1 1 1 1 1 1 1    ident.  Also: (faintly) bl.hdd. grosbeak, red-br. nut., rock sq.  Played back after first break  Q 1-2BNA: The pit-ick or pit-er-ik calls are heard.  CZ  08/07/2004.",,,Aves,Passeriformes,Cardinalidae,312870
66868,Audio,Piranga ludoviciana,Western Tanager,Pheucticus melanocephalus -- Black-headed Grosbeak; Vireo olivaceus -- Red-eyed Vireo,,"Gunn, William W. H. ",1980,6,3,0,Canada,Alberta,,Cold Lake Provincial Park,,,,Adult Male (1),call; mechanical sound; song,,Not Provided,Sight and Sound,,,4,0,147,,,,,,,,,,," NOTES: Songs: l (short) l wing sounds, small calls /0.45 description  /0.57  l l l l /1.38 l l  Also: Red-eyed vireo, Black-headed Grosbeak, aircraft  Q 2-3BNA: The Song is heard.  CZ  08/07/2004.",,,Aves,Passeriformes,Cardinalidae,312870
