ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
206454,Audio,Zonotrichia leucophrys,White-crowned Sparrow,,,"McGuire, Bob ",2015,6,2,932,United States,Alaska,,Tetlin NWR. Seaton House Roadside Area. ,62.7356219,-141.2098503,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,424,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Emberizidae,29984
119452,Audio,Zonotrichia leucophrys,White-crowned Sparrow,,,"Keller, Geoffrey A",2001,7,8,925,United States,California,Del Norte,8.0 km N of Crescent City; Lake Earl Wildlife Area,,,15,,song,,Certain,Sight,,,5,0,291,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from very top of young Shore Pine tree...""BNA: The Male Song is heard.  CZ  24/06/2004.",,,Aves,Passeriformes,Emberizidae,296560
118698,Audio,Zonotrichia leucophrys,White-crowned Sparrow,,,"Keller, Geoffrey A",2001,5,13,802,United States,California,Del Norte,4.8 km NW of Crescent City; Lake Earl Wildlife Viewing Area,,,20,,song,,Certain,Sound,,,5,0,298,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from unknown location in canopy of Sitka Spruce...""  BNA: The Male Song is heard.  CZ  24/06/2004.",,,Aves,Passeriformes,Emberizidae,296560
100701,Audio,Zonotrichia leucophrys,White-crowned Sparrow,,,"Hershberger, Wilbur L",1998,11,22,900,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,,advertise; counter singing; establish flock contact; song,Natural,Certain,Sight and Sound,,,5,0,230,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Pond,,," NOTES: BNA: The Male Song is heard as well as possibly the ""Pink"" Call.  CZ  23/06/2004.", Number of individuals=AU2+; ,,Aves,Passeriformes,Emberizidae,296560
77062,Audio,Zonotrichia leucophrys gambelii,White-crowned Sparrow (Gambel's),,,"Marantz, Curtis A",1993,6,14,1613,United States,Alaska,Matanuska-Susitna,136.0 km W of Paxson on Denali Highway,,,,,call,Natural,Certain,Sight and Sound,,,5,0,187,NAGRA IV-D,,,Mono,,,,Tundra; Coniferous Forest; Boreal/Taiga; Arctic Tundra,,," NOTES: (Species Sound:  Constant. Breeding Status:  Breeding? Context: Alarm? General Climate:  Cyclic wet-dry. Env. Zone: Arctic; alpine. cov. Density: Sparse. Weather: Trace breeze.)  BNA: The ""Pink"" Call is heard.  CZ  23/06/2004.", Sound stimulation was (other): My presence?.  Number of individuals=AU1-2; ,,Aves,Passeriformes,Emberizidae,296590
51163,Audio,Zonotrichia leucophrys,White-crowned Sparrow,,,"Colver, Kevin J",1990,7,28,608,United States,Utah,,3.0 km S of Blackhawk Campsite; Nebo Loop,39.8333333,-111.75,2600,Adult Unknown Sex (1),call; emit alarm,Natural,Certain,Sight,,,5,0,789,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Deciduous Forest; Montane Grassland,,Thicket/Brush," NOTES: (RRN#:90-28-40-46; Cut#: 40-46; Sound Delivery Rate: high; General Climate: cyclic wet-dry; Cover Density: medium; Filtering: yes) ****- calls only. - *****.  *Part A = 11:18, Quality = 1. Part B = 1:40, Quality = 1.  Dash Copy 3M275 Reel# 73724 05 3 starts here.  BNA: Probably the Pink Call is heard.  CZ  20/05/2004.",,,Aves,Passeriformes,Emberizidae,296560
50106,Audio,Zonotrichia leucophrys,White-crowned Sparrow,,,"Keller, Geoffrey A",1990,3,18,840,United States,Oregon,Coos,13.0 km SW of Coos Bay; South Slough Sanctuary,,,10,Adult Male (1),call,Playback Same Species,Certain,Sound,,,5,0,91,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest; Coniferous Forest; Deciduous Forest,,Thicket/Brush,"Dawn +2.18hrs    This recording was in response to playback of atypical Z. leucophyrs song - the bird approached    BNA: Probably the ""Pink"" Call is heard.  CZ  20/05/2004.",,,Aves,Passeriformes,Emberizidae,296560
50105,Audio,Zonotrichia leucophrys,White-crowned Sparrow,,,"Keller, Geoffrey A",1990,3,18,815,United States,Oregon,Coos,13.0 km SW of Coos Bay; South Slough Sanctuary,,,10,Adult Male (1),advertise; song,Natural,Certain,Sound,,,5,0,190,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest; Coniferous Forest; Deciduous Forest,,Thicket/Brush,Dawn +1.75hrs    BNA: Male Song is heard.  CZ  20/05/2004.,,,Aves,Passeriformes,Emberizidae,296560
44934,Audio,Zonotrichia leucophrys,White-crowned Sparrow,,,"Keller, Geoffrey A",1989,6,5,548,United States,Oregon,Coos,8.0 km S of Charleston; South Slough Sanctuary,,,25,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,148,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,," NOTES: dawn 0.0hrs; species cut number 111; atypical song  BNA: The Male Song is heard, referred to as an atypical song by the recordist.  CZ  20/05/2004.",,,Aves,Passeriformes,Emberizidae,296560
43976,Audio,Zonotrichia leucophrys,White-crowned Sparrow,Haemorhous purpureus -- Purple Finch; Chamaea fasciata -- Wrentit; Selasphorus rufus -- Rufous Hummingbird,,"Keller, Geoffrey A",1989,4,9,847,United States,Oregon,Coos,8.0 km S of Charleston; South Slough Sanctuary,,,25,Adult Male (1),song,Natural,Certain,Sight,,,5,0,155,UHER 4200 REPORT IC,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Meadow,,Thicket/Brush; Edge, NOTES: Special song type: ? mimicry           Reviewed by Dr. Baptista  BNA:  Male Song is heard.  CZ  20/05/2004.,,,Aves,Passeriformes,Emberizidae,296560
