ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
206470,Audio,Cardellina pusilla,Wilson's Warbler,,,"McGuire, Bob ",2015,6,3,1105,United States,Alaska,,Along Alaska Rt 2 Jan Lake. ,63.5666298,-143.9156628,,Adult Male (1),call; song,Natural,Certain,Sight and Sound,,,5,0,181,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Parulidae,28091
206468,Audio,Cardellina pusilla,Wilson's Warbler,Oreothlypis celata -- Orange-crowned Warbler,,"McGuire, Bob ",2015,6,3,1044,United States,Alaska,,Along Alaska Rt 2 Jan Lake. ,63.5666298,-143.9156628,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,152,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Parulidae,28091
165813,Audio,Cardellina pusilla,Wilson's Warbler,,,"Ross, Jr., David L",1996,4,22,"",Costa Rica,Cartago,,Cerro de la Muerte; Estacion Biologica Cuerici,9.55,-83.6666667,3048,Adult Male (1),call; song,,Certain,,,,5,0,310,MARANTZ PMD 700,Sennheiser ME 64,Parabola 61cm (24in),Stereo,,,,,,,Habitat: primary high-elevation forest,,,Aves,Passeriformes,Parulidae,292070
163328,Audio,Cardellina pusilla,Wilson's Warbler,,,"Medler, Matthew D",2010,6,30,1715,United States,Alaska,Matanuska-Susitna,Denali Highway,63.04433,-147.05858,1017,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,25,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Parulidae,278840
136176,Audio,Cardellina pusilla,Wilson's Warbler,,,"Medler, Matthew D",2007,6,18,833,Canada,Quebec,,Route de la Baie-James,53.04097,-77.36958,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,261,MARANTZ PMD 670,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Lake,,Thicket/Brush; Scrub,,,,Aves,Passeriformes,Parulidae,278840
136167,Audio,Cardellina pusilla,Wilson's Warbler,,,"Medler, Matthew D",2007,6,17,823,Canada,Quebec,,Route de la Baie-James,50.82351,-77.61767,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,184,MARANTZ PMD 670,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Deciduous Forest,,, NOTES: Different individual than previous recording.,,,Aves,Passeriformes,Parulidae,278840
136166,Audio,Cardellina pusilla,Wilson's Warbler,,,"Medler, Matthew D",2007,6,17,752,Canada,Quebec,,Route de la Baie-James,50.82332,-77.61693,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,141,MARANTZ PMD 670,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Deciduous Forest,,,,,,Aves,Passeriformes,Parulidae,278840
133365,Audio,Cardellina pusilla,Wilson's Warbler,,,"Keller, Geoffrey A",2007,7,3,815,Canada,Newfoundland and Labrador,,20.0 km NE of Deer Lake; Newfoundland,49.3703667,-57.3535,,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,207,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,Second-growth,,,,Aves,Passeriformes,Parulidae,278840
118682,Audio,Cardellina pusilla,Wilson's Warbler,,,"Keller, Geoffrey A",2001,5,6,845,United States,California,Del Norte,along the Smith River; Six Rivers National Forest,,,91,,song,,Certain,Sound,,,5,0,155,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from unknown location in either alders, or canopy of tan oak, or redwood trees...""",,,Aves,Passeriformes,Parulidae,278840
111024,Audio,Cardellina pusilla,Wilson's Warbler,,,"Sander, Thomas G",1988,4,9,0,United States,California,Marin,Point Reyes National Seashore; Muddy Hollow,,,,,song,,Not Provided,,,,5,0,106,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #685. NM: Y.)  BNA: Nine songs.,,,Aves,Passeriformes,Parulidae,278840
106610,Audio,Cardellina pusilla,Wilson's Warbler,Catharus guttatus -- Hermit Thrush; Poecile gambeli -- Mountain Chickadee; Turdus migratorius -- American Robin,,"Little, Randolph S",1994,6,2,615,United States,California,,5.0 km W of Sattley; Beartrap Meadow,39.6333333,-120.5166667,2100,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,88,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Grassland; Evergreen Forest; Coniferous Forest; Deciduous Forest; Montane Grassland; M,,Second-growth," NOTES: (Species Sound: frequent; Breeding Status: territorial, territorial paired?, breeding?; General Climate: arid; Cover Density: sparse)",,,Aves,Passeriformes,Parulidae,278840
96390,Audio,Cardellina pusilla,Wilson's Warbler,,,"Hershberger, Wilbur L",1995,6,9,0,United States,California,Sierra,3.0 km W of Sattley,39.6333333,-120.5,2010,Adult Male (2),call,Natural,Certain,Sight and Sound,,,5,0,90,NAGRA IV-S,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,," NOTES: From tone: 6'30"" to 7'09"". -2dB. ""Chip"" calls. Tape ran out before last recordist announcement stating that bird was 6' away.",,,Aves,Passeriformes,Parulidae,278840
96383,Audio,Cardellina pusilla,Wilson's Warbler,,,"Hershberger, Wilbur L",1995,6,9,0,United States,California,Sierra,3.0 km W of Sattley,39.6333333,-120.5,2010,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,105,NAGRA IV-S,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,," NOTES: From tone: 1'50"" to 2'35"". 0dB.",,,Aves,Passeriformes,Parulidae,278840
77044,Audio,Cardellina pusilla,Wilson's Warbler,,,"Marantz, Curtis A",1993,6,13,1612,United States,Alaska,Matanuska-Susitna,1.6 km E of Brushkana Creek on Denali Highway (mile marker 103),,,,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,182,NAGRA IV-D,,,Mono,,,,,,, NOTES: (Species Sound:  Isolated? Breeding Status:  Territorial. General Climate:  Cyclic wet-dry. Env. Zone: Boreal; alpine. Cov. Density: Sparse; med.) HPF @ 250 Hz., Response to playback: No response.,,Aves,Passeriformes,Parulidae,278840
62267,Audio,Cardellina pusilla,Wilson's Warbler,,,"Gunn, William W. H. ",1982,5,27,0,Canada,Yukon Territory,,Kluane National Park,,,,,song,Natural,Certain,Sight and Sound,,,5,0,143,,,,,,,,,,,NOTES: Reel 2; Cut 13; Ident'n at end.; 14 songs;,,,Aves,Passeriformes,Parulidae,278840
22826,Audio,Cardellina pusilla,Wilson's Warbler,,,"Fish, William R",1961,6,3,0,United States,California,Placer,Van Norden Lake; Placer Co.,,,,Adult Male (1),song,Natural,Certain,Sight,,,5,0,165,NAGRA III-B,,Parabola 61cm (24in),Mono,,,,Forest; Coniferous Forest,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; General climate: CYCLIC WET-DRY;  Cover density: MEDIUM; ,,,Aves,Passeriformes,Parulidae,278840
10919,Audio,Cardellina pusilla,Wilson's Warbler,Pheucticus melanocephalus -- Black-headed Grosbeak,,"Sutherland, Charles A",1961,6,25,800,United States,California,,LOS PADRES NATIONAL FOREST; BIG SUR,,,245,,,,Not Provided,,,,5,0,180,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,Evergreen Forest; Coniferous Forest,,, NOTES: LARGE PINES IN SMALL VALLEY. COAST RANGE.,,,Aves,Passeriformes,Parulidae,278840
10918,Audio,Cardellina pusilla,Wilson's Warbler,,,"Sutherland, Charles A",1961,7,17,830,United States,Washington,,4.8 km S of SOUTH BEND,,,,,song,,Not Provided,,,,5,0,4,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,Forest,,, NOTES: CUT-OVER FOREST.,,,Aves,Passeriformes,Parulidae,278840
206467,Audio,Cardellina pusilla; Oreothlypis celata,Wilson's Warbler; Orange-crowned Warbler,,,"McGuire, Bob ",2015,6,3,1040,United States,Alaska,,Along Alaska Rt 2 Jan Lake. ,63.5666298,-143.9156628,,Adult Male (1); Adult Male (1),song,Natural,Certain,Sound,,,4,0,53,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Parulidae,28091
205445,Audio,Cardellina pusilla,Wilson's Warbler,,,"Budney, Gregory F",2000,6,18,630,United States,California,Sierra,Tahoe National Forest; Bear Trap Meadow,39.6423556,-120.5030841,,Adult Female (1); Adult Male (1),call,,Not Provided,,,,4,0,805,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Parulidae,29529
196817,Audio,Cardellina pusilla,Wilson's Warbler,,,"Little, Randolph S",2014,6,6,733,United States,California,Sierra,"Lincoln Meadow, near head of meadow",39.586067,-120.496652,2145,Adult Male (1),advertise; forage; song,Natural,Certain,Sight and Sound,,,4,0,282,NAGRA LB,Sennheiser ME 67,,Mono,,4.0,,,,,Habitat: Lodgepole Pine and willow bushes at head of meadow,,,Aves,Passeriformes,Parulidae,278840
193409,Audio,Cardellina pusilla,Wilson's Warbler,Regulus calendula -- Ruby-crowned Kinglet; Troglodytes pacificus -- Pacific Wren,,"Nelson, Richard ",2013,5,27,1140,United States,Alaska,,Glacier Bay National Park and Preserve; Adams Inlet,58.8578833,-136.0001864,,,,,Not Provided,,,,4,0,472,MARANTZ PMD 661,Sennheiser ME 62,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: Open cottonwood,,,Aves,Passeriformes,Parulidae,278840
193408,Audio,Cardellina pusilla,Wilson's Warbler,Regulus calendula -- Ruby-crowned Kinglet; Troglodytes pacificus -- Pacific Wren; Corvus corax -- Common Raven,,"Nelson, Richard ",2013,5,27,1130,United States,Alaska,,Glacier Bay National Park and Preserve; Adams Inlet,58.8579167,-136.0114167,,,,,Not Provided,,,,4,0,341,MARANTZ PMD 661,Sennheiser ME 62,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: Open Cottonwood    ,,,Aves,Passeriformes,Parulidae,278840
192425,Audio,Cardellina pusilla,Wilson's Warbler,,,"McGuire, Bob ",2012,4,14,751,United States,California,,Point Reyes National Seashore,37.9301,-122.7362,,Adult Male (1),song,Natural,Certain,Sound,,,4,0,220,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Parulidae,278840
179975,Audio,Cardellina pusilla,Wilson's Warbler,,,"Walker, Bradley M",2013,6,4,731,United States,California,Sierra,Tahoe National Forest; Haskel Peak; Side road off Mile Marker 1 of Haskel Peak Road,39.650815,-120.6007674,,Adult Male (1),song,Natural,Certain,Sound,,,4,0,73,NAGRA ARES-BB+,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Parulidae,278840
179948,Audio,Cardellina pusilla,Wilson's Warbler,Melospiza lincolnii -- Lincoln's Sparrow; Contopus sordidulus -- Western Wood-Pewee,,"Walker, Bradley M",2013,6,3,734,United States,California,Sierra,Yuba Pass; Tahoe National Forest,39.6172462,-120.4907084,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,179,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Hipass filter was in place during this recording.,Aves,Passeriformes,Parulidae,278840
