ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
169033,Audio,Troglodytes hiemalis,Winter Wren,,,"Medler, Matthew D",2012,6,9,702,United States,New York,Franklin,Town of Santa Clara; Blue Mountain Rd.,44.50406,-74.42745,480,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,5,0,527,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,This is a different individual than the one recorded in ML 169031.,,,Aves,Passeriformes,Troglodytidae,209450
169031,Audio,Troglodytes hiemalis,Winter Wren,,,"Medler, Matthew D",2012,6,9,633,United States,New York,Franklin,Town of Santa Clara; Blue Mountain Rd.,44.50175,-74.42664,480,Adult Unknown Sex (1),song,Natural; Pish,Certain,Sound,,,5,0,567,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Troglodytidae,209450
136183,Audio,Troglodytes hiemalis,Winter Wren,,,"Medler, Matthew D",2007,6,21,615,Canada,Quebec,,Parc d'Aiguebelle,48.44742,-78.73495,,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,5,0,555,MARANTZ PMD 670,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,,,,,,,Aves,Passeriformes,Troglodytidae,209450
107385,Audio,Troglodytes hiemalis,Winter Wren,,,"Hershberger, Wilbur L",2000,5,26,550,United States,West Virginia,Randolph,Gaudineer Knob,38.6919,-79.8175,1230,Adult Male (1),advertise; dawn song; song,Natural,Certain,Sight and Sound,,,5,0,117,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Stream,,,,,,Aves,Passeriformes,Troglodytidae,209450
107384,Audio,Troglodytes hiemalis,Winter Wren,,,"Hershberger, Wilbur L",2000,5,26,539,United States,West Virginia,Randolph,Gaudineer Knob,38.6919,-79.8175,1230,Adult Male (1),advertise; dawn song; song,Natural,Certain,Sight and Sound,,,5,0,265,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Stream,,,,,,Aves,Passeriformes,Troglodytidae,209450
100917,Audio,Troglodytes hiemalis,Winter Wren,,,"Hershberger, Wilbur L",1999,6,25,608,Canada,Nova Scotia,,SW of Benjie's Lake Trailhead,46.7333333,-60.8,500,Adult Male (1),advertise; dawn song; song,Natural,Certain,Sight and Sound,,,5,0,77,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,,, Response to playback: No response.,,Aves,Passeriformes,Troglodytidae,209450
100872,Audio,Troglodytes hiemalis,Winter Wren,,,"Hershberger, Wilbur L",1999,5,30,522,United States,New York,Hamilton,Ferd's Bog,43.7669444,-74.8172222,200,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,74,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous; Lake,,, NOTES: Long song type., Response to playback: No response.,,Aves,Passeriformes,Troglodytidae,209450
100871,Audio,Troglodytes hiemalis,Winter Wren,,,"Hershberger, Wilbur L",1999,5,30,522,United States,New York,Hamilton,Ferd's Bog,43.7669444,-74.8172222,200,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,150,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous; Lake,,,, Response to playback: No response.,,Aves,Passeriformes,Troglodytidae,209450
100847,Audio,Troglodytes hiemalis,Winter Wren,,,"Hershberger, Wilbur L",1999,5,28,844,United States,New York,,Brown Tract Ponds,43.7669444,-74.75,200,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,254,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous; Pond,,, NOTES: May need HPF due to plane in background.  Chipmonk in background as well.Second example response to playback., Response to playback: No response. Response to playback: Approach.,,Aves,Passeriformes,Troglodytidae,209450
100830,Audio,Troglodytes hiemalis,Winter Wren,,,"Hershberger, Wilbur L",1999,5,28,530,United States,New York,Hamilton,Ferd's Bog,43.7669444,-74.8172222,200,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,192,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous; Pond,,,"NOTES: Generator in background, may need HFP.", Response to playback: No response.,,Aves,Passeriformes,Troglodytidae,209450
