ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
138527,Audio,Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),,,"Budney, Gregory F",1997,6,7,625,United States,California,Plumas,12.0 km S of Portola; Carmen Valley,39.7166667,-120.5166667,1550,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,307,HHB PORTADAT PDR 1000,,,Mono,,,,,,, NOTES: Telinga Pro III in cut.,,,Aves,Passeriformes,Parulidae,277420
111149,Audio,Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),,,"Sander, Thomas G",1990,6,7,0,United States,Oregon,Deschutes,East side of Cascades; Jack Lake; NW of Sisters.,,,,,song,,Not Provided,,,,5,0,73,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (AOU #9999. NM: Y.) Two alternate songs, common, very well-known variation. BNA: Song.",,,Aves,Passeriformes,Parulidae,277420
111148,Audio,Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),,,"Sander, Thomas G",1990,6,7,930,United States,Oregon,Deschutes,East side of Cascades; Jack Lake; NW of Sisters.,,,,,song,,Not Provided,,,,5,0,352,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #9999. NM: Y.) BNA: Song.,,,Aves,Passeriformes,Parulidae,277420
111147,Audio,Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),,,"Sander, Thomas G",1990,6,7,0,United States,Oregon,Deschutes,East side of Cascades; Jack Lake; NW of Sisters.,,,,,,,Not Provided,,,,5,0,101,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #9999. NM: Y.) Four perfect songs.,,,Aves,Passeriformes,Parulidae,277420
111144,Audio,Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),Spinus pinus -- Pine Siskin,,"Sander, Thomas G",1990,6,7,0,United States,Oregon,Deschutes,East side of Cascades; Jack Lake; NW of Sisters.,,,,,song,,Not Provided,,,,5,0,151,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (AOU #9999.  NM: Y.)  BNA: Twelve songs, some off mic.",,,Aves,Passeriformes,Parulidae,277420
111143,Audio,Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),,,"Sander, Thomas G",1990,6,8,0,United States,Oregon,Deschutes,East side of Cascades; Jack Lake; NW of Sisters.,,,,,,,Not Provided,,,,5,0,144,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #9999. NM: Y.) BNA: Song.,,,Aves,Passeriformes,Parulidae,277420
111142,Audio,Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),Coccothraustes vespertinus -- Evening Grosbeak,,"Sander, Thomas G",1990,6,8,0,United States,Oregon,Deschutes,East side of Cascades; Jack Lake; NW of Sisters.,,,,,song,,Not Provided,,,,5,0,260,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #9999. NM: Y.)  BNA: Song.,,,Aves,Passeriformes,Parulidae,277420
111127,Audio,Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),,,"Sander, Thomas G",1990,5,31,0,United States,Oregon,Deschutes,near Sisters,,,,,song,,Certain,,,,5,0,495,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #9999. NM: Y.) BNA: Song.,,,Aves,Passeriformes,Parulidae,277420
110930,Audio,Setophaga coronata,Yellow-rumped Warbler,,,"Sander, Thomas G",1986,6,6,0,United States,California,,Yosemite National Park; near Gin Flat,,,,,,,Not Provided,,,,5,0,196,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #669. NM: N.),,,Aves,Passeriformes,Parulidae,277400
104566,Audio,Setophaga coronata,Yellow-rumped Warbler,,,"Budney, Gregory F",1994,4,14,0,United States,New York,,Paul Smiths; Bay Pond Park,44.3955833,-74.5098611,,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,385,NAGRA IV-S,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,,,," NOTES: Notes on tape: ""Bird was on one of the lower limbs, only about 12-15 feet up. Moved in the latter portion, when the song gets strange, moved to a dead branch... Singing from varying perches in this small area... Preening... ""   Alternate song and soft call notes.mf",,,Aves,Passeriformes,Parulidae,277400
